Date,CO,NO1,NO2,O3,SO2
2013-02-05 12:00:00,59.7773438,168.408203,0.6,19.904623,23.59375
2013-02-05 13:00:00,59.7773438,168.408203,0.9,19.904623,23.59375
2013-02-05 14:00:00,59.7773438,168.408203,0.9,19.904623,23.59375
2013-02-05 15:00:00,59.7773438,168.408203,1.0,19.904623,23.59375
2013-02-05 16:00:00,59.7773438,168.408203,0.9,19.904623,23.59375
2013-02-05 18:00:00,42.0651054,69.1972656,0.9,8.68196583,1.39222205
2013-02-05 19:00:00,49.6435547,49.1552734,1.2,12.5123701,19.5131836
2013-02-05 20:00:00,47.1774101,46.8177071,1.0,10.1028643,2.17492676
2013-02-05 21:00:00,39.9858398,55.2680664,0.9,14.1485596,0.0
2013-02-05 22:00:00,39.5556641,54.5644531,0.8,4.59118652,1.34542084
2013-02-05 23:00:00,42.2470703,46.7799492,0.7,4.59118652,2.20265961
2013-02-06 00:00:00,61.7197266,37.4414063,0.6,29.0882168,5.59210205
2013-02-11 11:00:00,50.4360352,117.725586,2.2,85.4199219,35.187664
2013-02-11 12:00:00,19.2945957,158.195313,0.9,8.31835938,19.6494141
2013-02-11 13:00:00,20.4339199,166.621094,0.8,12.9562378,18.9245605
2013-02-11 14:00:00,24.4121094,183.916672,0.8,12.5091143,19.6147461
2013-02-11 15:00:00,20.8681641,185.283203,1.0,15.1507568,18.894043
2013-02-11 16:00:00,21.875,156.578125,1.1,17.3582363,10.7889404
2013-02-11 17:00:00,19.6482754,136.379883,1.6,17.7579346,9.90059376
2013-02-11 18:00:00,58.7666016,97.0351563,0.9,21.8413086,9.25024414
2013-02-11 19:00:00,110.13607,63.5263672,2.2,26.4018555,9.13118458
2013-02-11 20:00:00,104.617836,60.0195313,2.5,20.9599609,17.6099854
2013-02-11 21:00:00,117.731445,47.1315117,3.0,50.7060547,15.7837725
2013-02-11 22:00:00,96.5774765,60.3496094,2.0,40.5441895,17.5201015
2013-02-11 23:00:00,106.358398,52.8590508,1.2,49.691082,11.4489746
2013-02-12 00:00:00,102.9375,47.7119141,1.0,44.4335938,13.1080732
2013-02-19 14:00:00,15.4378252,112.623047,0.7,10.800293,4.2935791
2013-02-19 15:00:00,19.0371094,124.51107,0.5,15.5805664,4.08178711
2013-02-19 16:00:00,13.6273603,122.859375,0.3,15.7351074,5.40006495
2013-02-19 17:00:00,15.3110352,110.568359,0.5,14.6089678,7.37884521
2013-02-19 18:00:00,37.1121407,102.477867,0.7,18.517252,2.33467603
2013-02-19 19:00:00,68.0413437,74.7060547,0.7,21.314209,5.20495605
2013-02-19 20:00:00,96.3681641,52.637043,1.5,23.472168,9.49039745
2013-02-19 21:00:00,101.813148,48.4296875,1.1,41.2119141,21.7990723
2013-02-19 22:00:00,99.6855469,50.6432304,2.2,122.291016,10.8971357
2013-02-19 23:00:00,83.296875,47.8950195,2.2,88.6904297,7.35795069
2013-02-20 00:00:00,85.1230469,41.3046875,2.2,75.1699219,4.94995117
